district,projected_loss_pct,projected_lo,projected_hi,projected_loss_km2,risk_tier,edge_ratio,nbr_loss_pct,trend
Rangpur,75.35,58.5,92.19,40.23,High,0.9789088164492384,54.45190283026754,declining
Barguna,63.87,47.03,80.71,53.43,High,0.9820142635087721,29.794871443708878,declining
Netrakona,50.49,33.65,67.33,30.62,High,0.951459250418998,-5.509710431717355,declining
Sirajganj,48.62,31.78,65.46,39.73,High,0.9255766606364361,8.135922313455092,declining
Gaibandha,42.66,25.81,59.5,6.99,High,0.9965519670074768,37.83452983011528,declining
Bogra,39.64,22.79,56.48,20.58,High,0.9693812746797519,25.779441705896527,declining
Dinajpur,39.31,22.47,56.15,15.41,High,0.9194353898230162,58.982010272475726,declining
Nawabganj,38.19,21.35,55.03,72.03,High,0.8630819926448947,21.438172871762806,declining
Kurigram,35.15,18.31,52.0,29.89,High,0.9397300965156083,41.37068326737332,declining
Lalmonirhat,33.32,16.48,50.16,12.56,High,0.982131930987329,56.27397637759464,declining
Sherpur,31.78,14.94,48.62,40.2,High,0.6455597355884721,-26.296798756024323,declining
Narayanganj,31.57,14.73,48.41,18.69,High,0.8859766205588422,24.352165213807968,declining
Sunamganj,31.03,14.19,47.87,34.79,High,0.8606171885197894,1.9794774148513539,declining
Joypurhat,30.07,13.23,46.91,5.8,High,0.9912030960927246,43.92512760516181,declining
Khulna,22.68,5.84,39.52,166.23,High,0.7277650062963598,17.25173821647701,declining
Naogaon,22.41,5.56,39.25,31.12,High,0.8744816074897706,35.03685751552179,recovering
Kushtia,18.8,1.95,35.64,60.89,High,0.8525539301761638,17.97782074801724,stable
Noakhali,17.85,1.01,34.69,136.94,High,0.717956472099897,23.517439176360345,declining
Jamalpur,16.99,0.15,33.83,26.08,High,0.9105001297841566,27.45152347972489,declining
Panchagarh,16.31,-0.54,33.15,8.48,High,0.8902319077991664,57.490151427521965,declining
Chandpur,15.78,-1.06,32.62,109.79,High,0.73026142707774,21.855164651810238,declining
Jhenaidah,15.44,-1.4,32.28,88.39,High,0.7940499084917872,19.87142298042172,declining
Jhalokati,15.14,-1.71,31.98,51.82,High,0.6628444379452181,28.44303932676554,declining
Nilphamari,14.39,-2.45,31.23,2.32,High,1.0,49.141928543859045,declining
Thakurgaon,14.28,-2.56,31.13,1.94,High,0.9421206785279468,35.97001819097963,declining
Sylhet,13.59,-3.25,30.44,79.21,High,0.6591613253177322,8.645527655676581,declining
Pabna,13.38,-3.47,30.22,64.05,High,0.7652007297385546,18.588256650063027,recovering
Patuakhali,12.98,-3.87,29.82,4.0,High,0.9699879479195067,32.26757142026836,declining
Magura,12.28,-4.56,29.12,27.19,High,0.8718573647389496,15.356295888398098,declining
Kishoreganj,12.02,-4.82,28.87,38.63,High,0.8371408679710769,3.5907147978775695,declining
Brahamanbaria,11.9,-4.95,28.74,30.51,High,0.7397974030196742,19.84402322793482,recovering
Bagerhat,11.87,-4.97,28.71,160.79,High,0.6697807296311886,19.615421385479014,stable
Munshiganj,11.83,-5.01,28.68,19.14,High,0.8778371417748856,27.423216971119718,declining
Shariatpur,11.14,-5.7,27.98,48.79,High,0.7057879757188413,25.74470274139503,declining
Comilla,10.87,-5.97,27.71,76.96,High,0.8665216795756554,33.77264761169302,declining
Satkhira,10.7,-6.15,27.54,63.7,High,0.8082092602078376,13.46465081013916,declining
Manikganj,10.22,-6.62,27.07,38.52,High,0.8627486228220831,22.72520219712545,declining
Barisal,9.66,-7.19,26.5,79.07,High,0.6453708207350998,26.16491364193202,declining
Natore,9.57,-7.27,26.42,41.68,High,0.8261969330037056,29.710775044711994,declining
Pirojpur,9.18,-7.66,26.02,51.84,High,0.5924113021163935,26.59664034656646,declining
Tangail,8.96,-7.89,25.8,75.87,High,0.6968424529072307,13.217157467736564,declining
