district,deforested_km2,forest_km2_2016,forest_km2_2024,land_km2,ever_forest_km2,forest_pct_now,forest_loss_pct,protected_loss_km2,forest_km2_per_year,forest_pct_per_year,years_available,trend,recent_loss_km2,loss_rate_all_km2_yr,loss_rate_recent_km2_yr,acceleration,alert,priority,restoration_need,restoration_tier,projected_loss_pct,projected_lo,projected_hi,projected_loss_km2,risk_tier,edge_ratio,nbr_loss_pct,net_change_km2
Barisal,483.3405456542969,1138.2115478515625,818.5388793945312,1827.5869140625,1277.473876953125,44.78795908945421,37.8356500570565,0.0,-38.71789347330267,-3.926010390103539,9,declining,189.04417419433594,60.418,63.015,1.04,False,Medium,39.8,Low,9.66,-7.19,26.5,79.07,High,0.6453708207350998,26.16491364193202,-319.67266845703125
Bhola,241.621337890625,533.44873046875,425.9247131347656,1372.5831298828125,700.0318603515625,31.030886498738326,34.51576300674094,0.0,-10.383052571612476,-1.9999714708429916,9,declining,95.6696548461914,30.203,31.89,1.06,False,Medium,38.1,Low,-6.7,-23.54,10.14,-28.54,Low,0.8012063882431816,29.09328920727422,-107.52401733398438
Jhalokati,153.94509887695312,419.7163391113281,342.25494384765625,680.707763671875,495.0499572753906,50.27927726304517,31.096881560039247,0.0,-8.834075927732927,-2.2007592705008743,9,declining,78.8499984741211,19.243,26.283,1.37,False,Medium,31.7,Low,15.14,-1.71,31.98,51.82,High,0.6628444379452181,28.44303932676554,-77.46139526367188
Patuakhali,135.86245727539062,80.7232894897461,30.801923751831055,2036.7845458984375,179.26303100585938,1.5122818863614338,75.78944554995829,0.0,-8.76319878895854,-10.237081025725981,9,declining,51.0768928527832,16.983,17.026,1.0,False,Medium,80.8,High,12.98,-3.87,29.82,4.0,High,0.9699879479195067,32.26757142026836,-49.92136573791504
Pirojpur,218.43093872070312,647.56884765625,564.7211303710938,1121.7081298828125,765.986328125,50.34474791852418,28.516297315042646,0.0,-11.846271769203838,-1.9181075198792894,9,declining,86.28104400634766,27.304,28.76,1.05,False,Medium,29.4,Low,9.18,-7.66,26.02,51.84,High,0.5924113021163935,26.59664034656646,-82.84771728515625
Bandarban,41.85868453979492,4591.52099609375,4565.93994140625,4611.7236328125,4602.08984375,99.00723254358743,0.909558178153395,0.0,-3.951944986978595,-0.08632505572645827,9,stable,15.269522666931152,5.232,5.09,0.97,False,Low,11.2,Low,1.48,-15.36,18.32,67.58,Medium,0.049149764144007436,5.4653410795957384,-25.5810546875
Brahamanbaria,179.6997528076172,249.29991149902344,256.4177551269531,1343.619873046875,431.9319763183594,19.08409962301945,41.60371601549774,0.0,4.75840504964093,1.8257564263124677,9,recovering,47.31553268432617,22.462,15.772,0.7,False,Medium,38.0,Low,11.9,-4.95,28.74,30.51,High,0.7397974030196742,19.84402322793482,7.1178436279296875
Chandpur,366.3294372558594,920.9701538085938,695.7637329101562,1329.555419921875,1055.079345703125,52.330555197995395,34.72055810283448,0.0,-22.923562622067934,-2.779473760141005,9,declining,136.0448455810547,45.791,45.348,0.99,False,Medium,33.3,Low,15.78,-1.06,32.62,109.79,High,0.73026142707774,21.855164651810238,-225.2064208984375
Chittagong,487.73101806640625,2886.990234375,2567.512451171875,4076.49365234375,3159.31640625,62.98335457227322,15.43786551741192,0.3688521540513172,-38.55194091796245,-1.3818582767438423,9,declining,133.2194366455078,60.966,44.406,0.73,False,Medium,34.5,Low,-1.19,-18.04,15.65,-30.55,Low,0.41289447061963686,13.001772457938124,-319.477783203125
Comilla,875.4464721679688,1092.0848388671875,708.0427856445312,2923.46240234375,1599.71484375,24.219322440298562,54.725157773480134,0.0,-27.73118184407403,-2.9914193090125827,9,declining,246.64306640625,109.431,82.214,0.75,False,Medium,63.9,Medium,10.87,-5.97,27.71,76.96,High,0.8665216795756554,33.77264761169302,-384.04205322265625
Cox's Bazar,213.92283630371094,998.3631591796875,925.1029052734375,1576.6436767578125,1126.1995849609375,58.67545843813016,18.99510878536959,2.1706910318370576,-5.965350341796627,-0.6221793192131562,9,stable,54.07456970214844,26.74,18.025,0.67,False,Medium,25.6,Low,1.81,-15.03,18.65,16.74,Medium,0.3732929376126468,4.793935219964919,-73.26025390625
Feni,249.1930389404297,392.08758544921875,222.22720336914062,854.9580078125,506.9754638671875,25.992762374111486,49.15287951799396,0.0,-21.106366984045835,-5.8626802609176645,9,declining,149.05010986328125,31.149,49.683,1.6,True,High,57.0,Medium,-4.77,-21.61,12.07,-10.6,Low,0.7904039596036276,20.01961949411221,-169.86038208007812
Khagrachhari,74.58855438232422,2734.922607421875,2673.59765625,2841.22021484375,2776.46728515625,94.10033204332356,2.6864553665406015,0.0,-7.350508626300589,-0.26953057636877453,9,stable,33.722434997558594,9.324,11.241,1.21,False,Medium,12.8,Low,0.68,-16.16,17.53,18.18,Low,0.10348998534935809,5.076453609135388,-61.324951171875
Lakshmipur,148.5448760986328,678.7129516601562,612.8417358398438,1098.48876953125,778.0420532226562,55.78953129410301,19.092139747891363,0.0,-7.264887491860771,-1.0962908397409399,9,declining,54.34897232055664,18.568,18.116,0.98,False,Medium,26.7,Low,-1.16,-18.0,15.68,-7.11,Low,0.5595996394310851,20.75263766170374,-65.8712158203125
Noakhali,456.6562194824219,883.08984375,767.1478271484375,2205.606689453125,1245.277587890625,34.7817147461885,36.6710381623387,0.0,-19.61622517903127,-2.152880685147379,9,declining,190.85108947753906,57.082,63.617,1.11,False,Medium,40.3,Low,17.85,1.01,34.69,136.94,High,0.717956472099897,23.517439176360345,-115.9420166015625
Rangamati,43.95236587524414,4996.45947265625,4953.18212890625,5040.78076171875,5013.8466796875,98.26220109635096,0.8766196631681521,0.28610517603070573,-3.863118489582492,-0.07749612538417557,9,stable,18.26190948486328,5.494,6.087,1.11,False,Low,21.1,Low,1.49,-15.35,18.33,73.8,Medium,0.0824257855562983,3.978802297549553,-43.27734375
Dhaka,272.6396484375,421.901611328125,251.2510223388672,1253.3759765625,577.8104858398438,20.04594208259412,47.18496031466443,0.32060718439741553,-23.425770568843035,-5.892964170361586,9,declining,87.3717269897461,34.08,29.124,0.85,False,Medium,70.6,Medium,-5.31,-22.16,11.53,-13.34,Low,0.7770153711405213,29.14608046296702,-170.6505889892578
Faridpur,333.91552734375,608.087890625,514.8970947265625,1757.586181640625,880.703369140625,29.29569543189797,37.91464175612033,0.0,-13.854016113276844,-2.1779208191029404,9,declining,98.50128173828125,41.739,32.834,0.79,False,Medium,45.8,Low,8.19,-8.66,25.03,42.17,High,0.7705312328934052,24.926466106948244,-93.1907958984375
Gazipur,374.7536926269531,726.6680908203125,572.9400024414062,1604.946044921875,1030.3330078125,35.69839648218801,36.37209424383993,5.506749902852467,-20.430434163405852,-2.722862229107758,9,declining,100.40362548828125,46.844,33.468,0.71,False,Medium,48.3,Low,1.1,-15.75,17.94,6.3,Medium,0.7458317305044428,13.894493397097074,-153.72808837890625
Gopalganj,433.27728271484375,776.4459838867188,502.7857666015625,1421.24365234375,992.4554443359375,35.37646523679642,43.65710170543265,0.0,-32.008577473953125,-4.5973560192975125,9,declining,126.63348388671875,54.16,42.211,0.78,False,Medium,48.0,Low,-0.76,-17.6,16.08,-3.82,Low,0.7677854900710664,16.30031843718541,-273.66021728515625
Jamalpur,401.59259033203125,337.19317626953125,153.48829650878906,1727.1339111328125,494.21173095703125,8.886878748626815,81.25921850425426,0.0,-30.75455017089599,-15.771804026069292,9,declining,54.471710205078125,50.199,18.157,0.36,False,Medium,77.5,High,16.99,0.15,33.83,26.08,High,0.9105001297841566,27.45152347972489,-183.7048797607422
Kishoreganj,313.0557556152344,408.341552734375,321.3460388183594,1202.5882568359375,577.8958740234375,26.721202123146863,54.17165439089774,0.0,-15.326821899412531,-4.281524715851474,9,declining,79.25204467773438,39.132,26.417,0.68,False,Medium,58.8,Medium,12.02,-4.82,28.87,38.63,High,0.8371408679710769,3.5907147978775695,-86.99551391601562
Madaripur,234.8256072998047,488.03656005859375,412.4786071777344,992.2628784179688,679.9771728515625,41.56948890755408,34.53433683884364,0.0,-5.81491495768084,-1.1860842292971128,9,declining,77.2133560180664,29.353,25.738,0.88,False,Medium,35.9,Low,3.68,-13.16,20.52,15.18,High,0.8213753835333701,23.40665617706636,-75.55795288085938
Manikganj,281.4734802246094,466.4117126464844,376.87774658203125,1084.8785400390625,712.31982421875,34.73916504685043,39.51504235240408,0.0,-11.48840230305635,-2.332975030049505,9,declining,73.91510772705078,35.184,24.638,0.7,False,Medium,45.2,Low,10.22,-6.62,27.07,38.52,High,0.8627486228220831,22.72520219712545,-89.53396606445312
Munshiganj,252.2386474609375,336.0693664550781,161.8166961669922,751.911376953125,444.1423645019531,21.520713893531102,56.79229625928384,0.0,-23.95839538573827,-8.31674569276925,9,declining,93.40336608886719,31.53,31.134,0.99,False,Medium,67.0,Medium,11.83,-5.01,28.68,19.14,High,0.8778371417748856,27.423216971119718,-174.25267028808594
Mymensingh,731.6793212890625,661.4654541015625,396.37493896484375,4030.572265625,1016.17333984375,9.834209954386711,72.00339672378807,2.205078278252813,-57.295608011873625,-11.29785932528944,9,declining,78.36090850830078,91.46,26.12,0.29,False,Medium,83.4,High,-5.83,-22.67,11.01,-23.11,Low,0.8223873215005312,-3.8045171458585147,-265.09051513671875
Narayanganj,155.72454833984375,134.66146850585938,59.197750091552734,650.0611572265625,251.06507873535156,9.106489356188504,62.02557086961244,0.0,-9.692474619545285,-7.026570297771268,9,declining,63.438568115234375,19.466,21.146,1.09,False,Medium,72.0,Medium,31.57,14.73,48.41,18.69,High,0.8859766205588422,24.352165213807968,-75.46371841430664
Narsingdi,204.81214904785156,588.2943115234375,523.66552734375,990.601318359375,714.9437255859375,52.863398991941594,28.64731051104704,0.0,-5.3254201253251905,-0.9405671149152983,9,stable,48.404903411865234,25.602,16.135,0.63,False,Medium,19.1,Low,-4.09,-20.93,12.75,-21.42,Low,0.5565681741256374,21.7190320072818,-64.6287841796875
