district,year,forest_km2,edge_km2,edge_ratio
Barisal,2016,1138.2115478515625,661.2090454101562,0.5809192910212737
Bhola,2016,533.44873046875,369.3204650878906,0.6923260737041455
Jhalokati,2016,419.7163391113281,249.16650390625,0.5936545249437134
Patuakhali,2016,80.7232894897461,77.3719482421875,0.9584835892003101
Pirojpur,2016,647.56884765625,398.86273193359375,0.615938727406669
Bandarban,2016,4591.52099609375,166.22457885742188,0.03620250871091255
Brahamanbaria,2016,249.29991149902344,198.30616760253906,0.7954522182143489
Chandpur,2016,920.9701538085938,488.1531982421875,0.5300423648078838
Chittagong,2016,2886.990234375,1025.7626953125,0.355305218250787
Comilla,2016,1092.0848388671875,881.103515625,0.8068086693145222
Cox's Bazar,2016,998.3631591796875,337.2260437011719,0.3377789340486644
Feni,2016,392.08758544921875,271.96209716796875,0.6936258817181855
Khagrachhari,2016,2734.922607421875,178.5904541015625,0.06530000286549756
Lakshmipur,2016,678.7129516601562,288.8240966796875,0.42554675871915126
Noakhali,2016,883.08984375,592.9181518554688,0.6714131705304971
Rangamati,2016,4996.45947265625,350.8223571777344,0.07021419048781515
Dhaka,2016,421.901611328125,282.6886291503906,0.6700344856719107
Faridpur,2016,608.087890625,459.5335998535156,0.7557025998021462
Gazipur,2016,726.6680908203125,439.22662353515625,0.6044391230105168
Gopalganj,2016,776.4459838867188,531.0675048828125,0.6839722477852287
Jamalpur,2016,337.19317626953125,292.2782897949219,0.8667977597544643
Kishoreganj,2016,408.341552734375,319.1950988769531,0.7816865482817729
Madaripur,2016,488.03656005859375,353.0236511230469,0.7233549287386641
Manikganj,2016,466.4117126464844,343.85223388671875,0.7372289858152441
Munshiganj,2016,336.0693664550781,229.54640197753906,0.6830328048010951
Mymensingh,2016,661.4654541015625,572.4210205078125,0.8653830928862417
Narayanganj,2016,134.66146850585938,112.81449127197266,0.8377637086815513
Narsingdi,2016,588.2943115234375,301.82611083984375,0.5130529140393006
Netrakona,2016,81.17794036865234,79.36627960205078,0.9776828439059393
Rajbari,2016,230.4181671142578,180.39048767089844,0.7828830943761823
Shariatpur,2016,497.79779052734375,298.0225830078125,0.598682012413316
Sherpur,2016,188.49679565429688,136.3704071044922,0.723462733841882
Tangail,2016,1114.77197265625,758.645751953125,0.6805389537606004
Bagerhat,2016,1466.984619140625,1000.9781494140625,0.6823371808768152
Chuadanga,2016,543.5955200195312,397.07208251953125,0.7304550311696177
Jessore,2016,967.6112060546875,736.0504760742188,0.7606882510955734
Jhenaidah,2016,734.3054809570312,539.47802734375,0.7346779253787405
Khulna,2016,831.65478515625,638.9711303710938,0.7683129367806678
Kushtia,2016,391.48956298828125,308.9030456542969,0.7890454174471657
Magura,2016,322.9587707519531,265.1080017089844,0.8208725872089699
Meherpur,2016,251.85044860839844,196.1226043701172,0.7787264444188768
Narail,2016,339.6255187988281,250.76693725585938,0.7383630598276605
Satkhira,2016,876.66748046875,658.5651245117188,0.7512142735802029
Habiganj,2016,515.7783813476562,171.82447814941406,0.3331362545682138
Maulvibazar,2016,1082.8050537109375,295.73101806640625,0.2731156610812732
Sunamganj,2016,105.38058471679688,99.93679809570312,0.9483416548150349
Sylhet,2016,589.8078002929688,401.68670654296875,0.6810467856536372
Bogra,2016,136.94931030273438,129.9104766845703,0.948602635510874
Joypurhat,2016,55.74533462524414,52.632999420166016,0.9441686873708582
Naogaon,2016,180.02392578125,159.2590789794922,0.8846550717542427
Natore,2016,579.9352416992188,435.1029357910156,0.7502612438522578
Nawabganj,2016,380.317138671875,216.8955841064453,0.5703018929514392
Pabna,2016,431.3406066894531,334.176513671875,0.7747392860521195
Rajshahi,2016,566.7874755859375,349.83502197265625,0.6172243337081529
Sirajganj,2016,243.43954467773438,218.79879760742188,0.8987808365196708
Dinajpur,2016,240.51341247558594,224.52993774414062,0.9335443517809313
Gaibandha,2016,107.1689224243164,103.21356201171875,0.9630922815763967
Kurigram,2016,320.2340087890625,282.635009765625,0.8825889880790148
Lalmonirhat,2016,291.2484130859375,260.12908935546875,0.893151954372069
Nilphamari,2016,248.84230041503906,230.15174865722656,0.9248899735831131
Panchagarh,2016,228.4714813232422,209.99757385253906,0.9191412977947729
Rangpur,2016,365.4582824707031,332.68719482421875,0.9103287865719353
Thakurgaon,2016,321.4164733886719,299.34832763671875,0.9313409623368393
Barguna,2016,167.90054321289062,157.3098907470703,0.9369230601452443
Barisal,2017,1050.8909912109375,662.2264404296875,0.6301571199755044
Bhola,2017,522.1224975585938,368.78814697265625,0.7063249499822023
Jhalokati,2017,415.96954345703125,252.28375244140625,0.606495731261312
Patuakhali,2017,101.99516296386719,96.67928314208984,0.9478810595786729
Pirojpur,2017,641.7020874023438,416.35174560546875,0.6488240474499477
Bandarban,2017,4593.033203125,164.12586975097656,0.0357336562773613
Brahamanbaria,2017,267.7743835449219,200.8227081298828,0.7499698271033187
Chandpur,2017,899.0521850585938,519.7925415039062,0.578156140591583
Chittagong,2017,2932.31982421875,1012.4534912109375,0.34527389640408096
Comilla,2017,1005.8225708007812,849.533935546875,0.8446160985137988
Cox's Bazar,2017,993.41064453125,340.35284423828125,0.3426104261233076
Feni,2017,424.47601318359375,283.5163879394531,0.6679208698109097
Khagrachhari,2017,2747.336669921875,166.85330200195312,0.06073274667378056
Lakshmipur,2017,688.0316162109375,283.873779296875,0.41258827735300563
Noakhali,2017,945.458984375,578.6779174804688,0.6120603083199917
Rangamati,2017,4989.7197265625,347.54742431640625,0.06965269461253636
Dhaka,2017,484.39141845703125,295.0213928222656,0.6090557792332896
Faridpur,2017,643.6906127929688,483.67010498046875,0.7514015201834742
Gazipur,2017,827.5726928710938,482.63446044921875,0.5831928295927907
Gopalganj,2017,775.4551391601562,526.175048828125,0.6785370581178817
Jamalpur,2017,323.1110534667969,283.6771545410156,0.8779555867783597
Kishoreganj,2017,461.7825927734375,352.6335754394531,0.763635487690339
Madaripur,2017,496.97900390625,366.919921875,0.7383006505124222
Manikganj,2017,520.2680053710938,373.18170166015625,0.7172874322609467
Munshiganj,2017,368.09820556640625,238.830322265625,0.6488222943062926
Mymensingh,2017,734.927001953125,623.763427734375,0.8487420193797149
Narayanganj,2017,171.32057189941406,133.46197509765625,0.7790189678797862
Narsingdi,2017,620.8931884765625,307.72357177734375,0.4956143463779676
Netrakona,2017,96.32477569580078,94.05770874023438,0.9764643422298128
Rajbari,2017,216.45509338378906,169.917724609375,0.785002200470745
Shariatpur,2017,493.92755126953125,312.0920104980469,0.6318578700375866
Sherpur,2017,201.12205505371094,146.1653594970703,0.7267495325564166
Tangail,2017,1267.0052490234375,833.2327880859375,0.6576395707343468
Bagerhat,2017,1361.1795654296875,987.0945434570312,0.7251758463957195
Chuadanga,2017,541.931884765625,400.904052734375,0.7397683435949856
Jessore,2017,891.7947998046875,705.2966918945312,0.7908732951223743
Jhenaidah,2017,679.5386352539062,498.3649597167969,0.7333872334287296
Khulna,2017,902.7595825195312,733.1085205078125,0.8120750360375728
Kushtia,2017,341.62176513671875,282.7347106933594,0.8276249921611626
Magura,2017,272.31610107421875,231.7837677001953,0.851157044280035
Meherpur,2017,237.20574951171875,189.88665771484375,0.8005145663868604
Narail,2017,322.6702880859375,241.91708374023438,0.749734613543978
Satkhira,2017,873.58740234375,670.677490234375,0.7677279782595451
Habiganj,2017,523.65185546875,163.04934692382812,0.31136974923515465
Maulvibazar,2017,1125.670654296875,287.185546875,0.2551239527998392
Sunamganj,2017,134.26858520507812,125.76504516601562,0.9366676871877779
Sylhet,2017,709.0909423828125,476.6289978027344,0.6721690679069761
Bogra,2017,104.0560531616211,100.19562530517578,0.9629004969999271
Joypurhat,2017,18.621841430664062,18.281993865966797,0.9817500559242412
Naogaon,2017,97.13034057617188,89.8675765991211,0.9252266188508301
Natore,2017,409.3148193359375,339.8871765136719,0.8303808229203542
Nawabganj,2017,362.9398193359375,220.6399688720703,0.607924391640934
Pabna,2017,401.40557861328125,317.470458984375,0.7908969777677896
Rajshahi,2017,425.2226257324219,290.5471496582031,0.68328243154454
Sirajganj,2017,215.7746124267578,204.22364807128906,0.9464674540458758
Dinajpur,2017,123.41947174072266,115.81709289550781,0.9384021116118064
Gaibandha,2017,54.3624267578125,53.006324768066406,0.9750544250758414
Kurigram,2017,221.45947265625,200.24114990234375,0.9041886874406073
Lalmonirhat,2017,203.54666137695312,184.5691680908203,0.9067658827820914
Nilphamari,2017,137.99998474121094,132.44442749023438,0.9597423343097117
Panchagarh,2017,153.27374267578125,142.91932678222656,0.9324449464546756
Rangpur,2017,228.50253295898438,214.762451171875,0.9398690176026377
Thakurgaon,2017,207.48565673828125,200.51907348632812,0.966423783882369
Barguna,2017,194.28260803222656,179.52603149414062,0.9240458181638256
Barisal,2018,1036.796142578125,651.461181640625,0.62834066880369
Bhola,2018,557.4470825195312,390.4112548828125,0.7003557236648263
Jhalokati,2018,409.398681640625,261.053955078125,0.6376521634900653
Patuakhali,2018,112.97804260253906,107.02652740478516,0.9473214877806694
Pirojpur,2018,640.43310546875,413.76055908203125,0.6460636646495482
Bandarban,2018,4586.1201171875,175.97779846191406,0.03837182497736994
Brahamanbaria,2018,252.44924926757812,194.87852478027344,0.7719512945499638
