rank,district,loss_year,lat,lon,area_km2,in_protected,risk_tier,projected_loss_pct
1,Satkhira,2023,21.86206,89.06848,1.506,True,High,10.7
2,Khulna,2023,22.22701,89.44423,1.328,True,High,22.68
3,Khulna,2023,22.18216,89.45413,1.27,True,High,22.68
4,Satkhira,2023,21.74035,89.25829,1.159,True,High,10.7
5,Khulna,2023,22.01035,89.5271,1.04,True,High,22.68
6,Khulna,2023,22.04895,89.49948,0.982,True,High,22.68
7,Satkhira,2023,22.18092,89.22233,0.982,True,High,10.7
8,Satkhira,2023,21.74583,89.12326,0.927,True,High,10.7
9,Satkhira,2023,21.87496,89.24257,0.926,True,High,10.7
10,Satkhira,2023,21.67907,89.23383,0.812,True,High,10.7
11,Bagerhat,2023,21.76746,89.62572,0.81,True,High,11.87
12,Bagerhat,2023,22.15262,89.66967,0.808,True,High,11.87
13,Satkhira,2023,21.73707,89.13248,0.753,True,High,10.7
14,Satkhira,2023,21.92503,89.13127,0.752,True,High,10.7
15,Khulna,2023,22.28418,89.53724,0.75,True,High,22.68
16,Bagerhat,2023,21.73605,89.56428,0.695,True,High,11.87
17,Satkhira,2023,21.88558,89.21487,0.695,True,High,10.7
18,Bagerhat,2023,21.88202,89.8508,0.694,True,High,11.87
19,Satkhira,2023,21.94737,89.14667,0.637,True,High,10.7
20,Bagerhat,2023,21.90797,89.83633,0.636,True,High,11.87
21,Khulna,2023,22.06191,89.54294,0.636,True,High,22.68
22,Khulna,2023,22.32834,89.43127,0.635,True,High,22.68
23,Satkhira,2023,21.88835,89.14027,0.579,True,High,10.7
24,Satkhira,2023,22.20231,89.28715,0.578,True,High,10.7
25,Khulna,2023,22.331,89.47557,0.577,True,High,22.68
26,Khulna,2023,22.3548,89.46367,0.577,True,High,22.68
27,Tangail,2023,24.73399,90.09339,0.566,True,High,8.96
28,Satkhira,2023,21.72638,89.24725,0.522,True,High,10.7
29,Satkhira,2023,21.94771,89.27994,0.521,True,High,10.7
30,Bagerhat,2023,21.98714,89.55817,0.52,True,High,11.87
31,Satkhira,2023,22.13137,89.08755,0.52,True,High,10.7
32,Satkhira,2023,22.18726,89.18736,0.52,True,High,10.7
33,Bagerhat,2023,22.2479,89.77002,0.519,True,High,11.87
34,Satkhira,2023,21.68589,89.25464,0.464,True,High,10.7
35,Satkhira,2023,21.72491,89.27513,0.464,True,High,10.7
36,Satkhira,2023,22.07133,89.09856,0.463,True,High,10.7
37,Satkhira,2023,22.14207,89.10361,0.462,True,High,10.7
38,Bagerhat,2023,22.03792,89.82198,0.462,True,High,11.87
39,Khulna,2023,22.17519,89.43515,0.462,True,High,22.68
40,Tangail,2023,24.66633,90.03674,0.453,True,High,8.96
41,Satkhira,2023,21.76602,89.09539,0.406,True,High,10.7
42,Satkhira,2023,21.72431,89.26607,0.406,True,High,10.7
43,Satkhira,2023,21.84045,89.20768,0.405,True,High,10.7
44,Satkhira,2023,21.82633,89.26318,0.405,True,High,10.7
45,Satkhira,2023,21.91167,89.04727,0.405,True,High,10.7
46,Satkhira,2023,22.08364,89.07935,0.405,True,High,10.7
47,Bagerhat,2023,21.91841,89.85158,0.405,True,High,11.87
48,Khulna,2023,22.10513,89.29559,0.405,True,High,22.68
49,Bagerhat,2023,22.04418,89.66454,0.404,True,High,11.87
50,Bagerhat,2023,22.11444,89.66261,0.404,True,High,11.87
51,Bagerhat,2023,22.14973,89.67833,0.404,True,High,11.87
52,Khulna,2023,22.21197,89.4422,0.404,True,High,22.68
53,Khulna,2023,22.24341,89.36713,0.404,True,High,22.68
54,Satkhira,2023,21.67111,89.24613,0.348,True,High,10.7
55,Satkhira,2023,21.75832,89.10539,0.348,True,High,10.7
56,Satkhira,2023,21.77404,89.10165,0.348,True,High,10.7
57,Satkhira,2023,21.81222,89.19896,0.348,True,High,10.7
58,Bagerhat,2023,21.75233,89.58225,0.347,True,High,11.87
59,Satkhira,2023,21.86088,89.22517,0.347,True,High,10.7
60,Satkhira,2023,21.85414,89.26072,0.347,True,High,10.7
61,Satkhira,2023,21.86499,89.2611,0.347,True,High,10.7
62,Satkhira,2023,22.00348,89.15517,0.347,True,High,10.7
63,Satkhira,2023,22.04615,89.13009,0.347,True,High,10.7
64,Satkhira,2023,22.08022,89.1387,0.347,True,High,10.7
65,Khulna,2023,22.01396,89.46359,0.347,True,High,22.68
66,Bagerhat,2023,22.0076,89.5815,0.347,True,High,11.87
67,Bagerhat,2023,22.0106,89.57027,0.347,True,High,11.87
68,Satkhira,2023,22.2071,89.28206,0.346,True,High,10.7
69,Khulna,2023,22.13823,89.54781,0.346,True,High,22.68
70,Bagerhat,2023,22.11802,89.63951,0.346,True,High,11.87
71,Bagerhat,2023,22.12887,89.63614,0.346,True,High,11.87
72,Khulna,2023,22.24079,89.42167,0.346,True,High,22.68
73,Bagerhat,2023,22.17903,89.70726,0.346,True,High,11.87
74,Khulna,2023,22.22395,89.53209,0.346,True,High,22.68
75,Khulna,2023,22.23555,89.49429,0.346,True,High,22.68
76,Bagerhat,2023,22.19924,89.76415,0.346,True,High,11.87
77,Satkhira,2023,21.71295,89.25234,0.29,True,High,10.7
78,Satkhira,2023,21.73496,89.23886,0.29,True,High,10.7
79,Satkhira,2023,21.74709,89.26986,0.29,True,High,10.7
80,Satkhira,2023,21.74889,89.27614,0.29,True,High,10.7
81,Khulna,2023,21.73945,89.37855,0.29,True,High,22.68
82,Khulna,2023,21.7682,89.38978,0.29,True,High,22.68
83,Khulna,2023,21.77539,89.40775,0.29,True,High,22.68
84,Bagerhat,2023,21.78078,89.57708,0.289,True,High,11.87
85,Satkhira,2023,21.87285,89.25998,0.289,True,High,10.7
86,Satkhira,2023,21.93933,89.33948,0.289,True,High,10.7
87,Bagerhat,2023,21.90654,89.70329,0.289,True,High,11.87
88,Bagerhat,2023,21.89217,89.81783,0.289,True,High,11.87
89,Satkhira,2023,22.10552,89.07178,0.289,True,High,10.7
90,Bagerhat,2023,21.92406,89.76258,0.289,True,High,11.87
91,Bagerhat,2023,21.9829,89.60044,0.289,True,High,11.87
92,Satkhira,2023,22.10417,89.20248,0.289,True,High,10.7
93,Bagerhat,2023,21.97796,89.70015,0.289,True,High,11.87
94,Bagerhat,2023,22.01569,89.58202,0.289,True,High,11.87
95,Satkhira,2023,22.13516,89.15667,0.289,True,High,10.7
96,Bagerhat,2023,21.98874,89.71542,0.289,True,High,11.87
97,Bagerhat,2023,21.99458,89.70015,0.289,True,High,11.87
98,Satkhira,2023,22.1693,89.22359,0.289,True,High,10.7
99,Bagerhat,2023,22.01479,89.81693,0.289,True,High,11.87
100,Khulna,2023,22.08126,89.56136,0.289,True,High,22.68
101,Satkhira,2023,22.194,89.26357,0.289,True,High,10.7
102,Bagerhat,2023,22.13157,89.66332,0.289,True,High,11.87
103,Bagerhat,2023,22.12528,89.70419,0.289,True,High,11.87
104,Khulna,2023,22.19176,89.53172,0.289,True,High,22.68
105,Khulna,2023,22.21646,89.44997,0.289,True,High,22.68
106,Bagerhat,2023,22.15268,89.72979,0.289,True,High,11.87
107,Khulna,2023,22.2232,89.48455,0.289,True,High,22.68
108,Khulna,2023,22.23532,89.44593,0.289,True,High,22.68
109,Bagerhat,2023,22.20074,89.67095,0.289,True,High,11.87
110,Khulna,2023,22.28024,89.50611,0.288,True,High,22.68
111,Khulna,2023,22.33773,89.41628,0.288,True,High,22.68
112,Khulna,2023,22.34896,89.61795,0.288,True,High,22.68
113,Tangail,2023,24.72411,90.05498,0.283,True,High,8.96
114,Khulna,2022,22.05887,89.46577,2.369,True,High,22.68
115,Satkhira,2022,21.99802,89.27887,1.966,True,High,10.7
116,Khulna,2022,22.10489,89.53148,1.617,True,High,22.68
117,Gazipur,2022,24.17461,90.45128,1.477,True,Medium,1.1
118,Satkhira,2022,21.85695,89.1723,1.448,True,High,10.7
119,Satkhira,2022,21.89194,89.16986,1.389,True,High,10.7
120,Khulna,2022,21.82298,89.42308,1.389,True,High,22.68
121,Khulna,2022,22.16991,89.45556,1.27,True,High,22.68
122,Tangail,2022,24.73409,90.11674,1.245,True,High,8.96
123,Bagerhat,2022,22.01872,89.573,1.214,True,High,11.87
124,Khulna,2022,22.21582,89.41889,1.212,True,High,22.68
125,Khulna,2022,21.8258,89.39764,1.158,True,High,22.68
126,Khulna,2022,22.11854,89.52498,1.155,True,High,22.68
127,Khulna,2022,22.02249,89.52581,1.098,True,High,22.68
128,Satkhira,2022,21.87522,89.21718,1.042,True,High,10.7
129,Khulna,2022,22.13748,89.41743,1.04,True,High,22.68
130,Khulna,2022,21.89399,89.45338,0.984,True,High,22.68
131,Satkhira,2022,22.02293,89.10607,0.983,True,High,10.7
132,Khulna,2022,22.36666,89.45496,0.98,True,High,22.68
133,Khulna,2022,21.88268,89.40216,0.926,True,High,22.68
134,Khulna,2022,22.12031,89.44245,0.924,True,High,22.68
135,Satkhira,2022,22.20944,89.25394,0.924,True,High,10.7
136,Satkhira,2022,21.86731,89.25653,0.868,True,High,10.7
137,Khulna,2022,21.93918,89.42032,0.868,True,High,22.68
138,Khulna,2022,22.10941,89.40445,0.867,True,High,22.68
139,Khulna,2022,22.2488,89.43051,0.866,True,High,22.68
140,Satkhira,2022,21.91103,89.04037,0.811,True,High,10.7
141,Khulna,2022,21.89451,89.43771,0.81,True,High,22.68
142,Satkhira,2022,22.12278,89.07839,0.809,True,High,10.7
143,Khulna,2022,22.15101,89.42071,0.809,True,High,22.68
144,Khulna,2022,22.26458,89.45536,0.808,True,High,22.68
145,Satkhira,2022,21.87942,89.11244,0.753,True,High,10.7
146,Khulna,2022,21.84055,89.40301,0.752,True,High,22.68
147,Khulna,2022,22.09191,89.40941,0.751,True,High,22.68
148,Khulna,2022,22.13751,89.31215,0.751,True,High,22.68
149,Satkhira,2022,21.86855,89.11624,0.695,True,High,10.7
150,Satkhira,2022,21.90467,89.17838,0.695,True,High,10.7
151,Khulna,2022,22.01078,89.44301,0.694,True,High,22.68
152,Bagerhat,2022,21.94902,89.70071,0.694,True,High,11.87
153,Khulna,2022,22.08134,89.41868,0.693,True,High,22.68
154,Khulna,2022,22.1066,89.44694,0.693,True,High,22.68
155,Khulna,2022,22.16818,89.414,0.693,True,High,22.68
156,Satkhira,2022,21.87,89.13768,0.637,True,High,10.7
157,Satkhira,2022,22.03333,89.11032,0.636,True,High,10.7
158,Khulna,2022,22.07028,89.48231,0.636,True,High,22.68
159,Satkhira,2022,22.17665,89.19219,0.635,True,High,10.7
160,Khulna,2022,22.14541,89.56602,0.635,True,High,22.68
161,Khulna,2022,22.16256,89.52212,0.635,True,High,22.68
162,Gazipur,2022,24.15049,90.45759,0.625,True,Medium,1.1
163,Tangail,2022,24.73705,90.09908,0.623,True,High,8.96
164,Khulna,2022,21.86746,89.41785,0.579,True,High,22.68
165,Satkhira,2022,21.93416,89.18811,0.579,True,High,10.7
166,Khulna,2022,22.08531,89.39966,0.578,True,High,22.68
167,Khulna,2022,22.07789,89.48994,0.578,True,High,22.68
168,Khulna,2022,22.09564,89.49803,0.578,True,High,22.68
169,Khulna,2022,22.12079,89.41067,0.578,True,High,22.68
170,Khulna,2022,22.10058,89.56675,0.578,True,High,22.68
171,Satkhira,2022,21.67747,89.24151,0.522,True,High,10.7
172,Satkhira,2022,21.76331,89.11001,0.522,True,High,10.7
173,Satkhira,2022,21.78178,89.20508,0.521,True,High,10.7
174,Satkhira,2022,21.81821,89.14469,0.521,True,High,10.7
175,Satkhira,2022,21.87959,89.25274,0.521,True,High,10.7
176,Khulna,2022,21.87535,89.41469,0.521,True,High,22.68
177,Satkhira,2022,21.9572,89.15293,0.521,True,High,10.7
178,Khulna,2022,21.93224,89.44762,0.521,True,High,22.68
179,Satkhira,2022,22.08046,89.0853,0.52,True,High,10.7
180,Khulna,2022,22.00885,89.47258,0.52,True,High,22.68
181,Khulna,2022,22.08895,89.53895,0.52,True,High,22.68
182,Satkhira,2022,22.1678,89.25274,0.52,True,High,10.7
183,Satkhira,2022,22.20423,89.26522,0.52,True,High,10.7
184,Satkhira,2022,22.20249,89.27495,0.52,True,High,10.7
185,Bagerhat,2022,22.20623,89.76677,0.519,True,High,11.87
186,Khulna,2022,22.29232,89.52648,0.519,True,High,22.68
187,Satkhira,2022,21.78892,89.07975,0.464,True,High,10.7
188,Satkhira,2022,21.77095,89.2611,0.463,True,High,10.7
189,Khulna,2022,21.8198,89.33016,0.463,True,High,22.68
190,Khulna,2022,21.82373,89.38967,0.463,True,High,22.68
191,Satkhira,2022,21.88801,89.20916,0.463,True,High,10.7
192,Khulna,2022,21.85741,89.43908,0.463,True,High,22.68
193,Bagerhat,2022,21.98374,89.56231,0.462,True,High,11.87
194,Khulna,2022,22.03455,89.4461,0.462,True,High,22.68
195,Bagerhat,2022,22.00171,89.65944,0.462,True,High,11.87
196,Khulna,2022,22.07498,89.50084,0.462,True,High,22.68
197,Satkhira,2022,22.16846,89.17435,0.462,True,High,10.7
198,Khulna,2022,22.0935,89.56709,0.462,True,High,22.68
199,Khulna,2022,22.22881,89.54154,0.462,True,High,22.68
200,Khulna,2022,22.25688,89.44357,0.462,True,High,22.68
201,Satkhira,2022,21.77211,89.11079,0.406,True,High,10.7
202,Satkhira,2022,21.74677,89.26415,0.406,True,High,10.7
203,Bagerhat,2022,21.72046,89.58305,0.405,True,High,11.87
204,Satkhira,2022,21.86772,89.16341,0.405,True,High,10.7
205,Satkhira,2022,21.85585,89.21185,0.405,True,High,10.7
206,Satkhira,2022,21.88023,89.17303,0.405,True,High,10.7
207,Khulna,2022,21.81318,89.439,0.405,True,High,22.68
208,Bagerhat,2022,21.77789,89.59075,0.405,True,High,11.87
209,Satkhira,2022,21.91007,89.18971,0.405,True,High,10.7
210,Satkhira,2022,21.97071,89.10309,0.405,True,High,10.7
