district,deforested_km2,forest_km2_2016,forest_km2_2024,land_km2,ever_forest_km2,forest_pct_now,forest_loss_pct,protected_loss_km2,forest_km2_per_year,forest_pct_per_year,years_available,trend,recent_loss_km2,loss_rate_all_km2_yr,loss_rate_recent_km2_yr,acceleration,alert,priority,restoration_need,restoration_tier
Dinajpur,276.08270263671875,240.51341247558594,39.21351623535156,3302.108154296875,312.1435241699219,1.1875297356425136,88.44735874976132,0.4209954016459898,-22.455986150104582,-21.75110424987795,9,declining,34.47796630859375,34.51,11.493,0.33,False,Medium,95.0,High
Thakurgaon,407.8341979980469,321.4164733886719,13.602194786071777,1778.8629150390625,417.6734924316406,0.7646567181245152,97.64426169917783,0.0,-38.5755773385338,-32.23171995359297,9,declining,34.624595642089844,50.979,11.542,0.23,False,Medium,89.5,High
Nilphamari,314.9493713378906,248.84230041503906,16.12236785888672,1577.829345703125,325.9605712890625,1.0218068197801289,96.62192273512518,0.0,-27.6865793069187,-30.103776874543886,9,declining,30.501209259033203,39.369,10.167,0.26,False,Medium,88.0,High
Gaibandha,132.4400177001953,107.1689224243164,16.383790969848633,1680.821533203125,148.76724243164062,0.9747489930490243,89.02498664049126,0.0,-9.221147696176581,-17.586075175986213,9,declining,30.454978942871094,16.555,10.152,0.61,False,Medium,86.6,High
Lalmonirhat,355.3788757324219,291.2484130859375,37.68781661987305,1136.88134765625,382.33697509765625,3.3150175871535557,92.94912573957862,0.0,-34.293507544196274,-23.382781946286453,9,declining,64.99576568603516,44.422,21.665,0.49,False,Medium,84.5,High
Rangpur,435.53466796875,365.4582824707031,53.392093658447266,2233.93310546875,484.931396484375,2.3900489019900135,89.81366666012177,0.0,-37.4152243296273,-20.48387762420386,9,declining,93.56549072265625,54.442,31.188,0.57,False,Medium,84.4,High
Mymensingh,731.6793212890625,661.4654541015625,396.37493896484375,4030.572265625,1016.17333984375,9.834209954386711,72.00339672378807,2.205078278252813,-57.295608011873625,-11.29785932528944,9,declining,78.36090850830078,91.46,26.12,0.29,False,Medium,83.4,High
Bogra,193.58078002929688,136.94931030273438,51.921287536621094,2555.428466796875,241.69644165039062,2.031803598153632,80.09252379036174,0.0,-9.521076711017804,-9.599585200161998,9,declining,59.554813385009766,24.198,19.852,0.82,False,Medium,81.6,High
Patuakhali,135.86245727539062,80.7232894897461,30.801923751831055,2036.7845458984375,179.26303100585938,1.5122818863614338,75.78944554995829,0.0,-8.76319878895854,-10.237081025725981,9,declining,51.0768928527832,16.983,17.026,1.0,False,Medium,80.8,High
Panchagarh,227.20236206054688,228.4714813232422,51.994598388671875,1350.615478515625,277.4047546386719,3.849696617264879,81.90283629294129,0.0,-19.592341613768752,-18.577206390467506,9,declining,25.359535217285156,28.4,8.453,0.3,False,Medium,80.5,High
Joypurhat,68.53211212158203,55.74533462524414,19.29962158203125,935.059814453125,87.32079315185547,2.0639986109678707,78.48315349403786,0.0,-2.1451566696168234,-6.644544418943158,9,declining,20.20368766784668,8.567,6.735,0.79,False,Medium,80.5,High
Kurigram,345.0479736328125,320.2340087890625,85.03541564941406,1481.4068603515625,410.82830810546875,5.740179684953919,83.98836370940413,0.0,-28.913688405352392,-16.11786543277221,9,declining,77.51557922363281,43.131,25.839,0.6,False,Medium,79.7,High
Jamalpur,401.59259033203125,337.19317626953125,153.48829650878906,1727.1339111328125,494.21173095703125,8.886878748626815,81.25921850425426,0.0,-30.75455017089599,-15.771804026069292,9,declining,54.471710205078125,50.199,18.157,0.36,False,Medium,77.5,High
Netrakona,106.88179779052734,81.17794036865234,60.64850616455078,1769.50732421875,159.63592529296875,3.4274232909054234,66.95347403435322,0.0,-4.893132019042167,-6.634662088717681,9,declining,19.968881607055664,13.36,6.656,0.5,False,Medium,76.6,High
Sirajganj,284.11358642578125,243.43954467773438,81.72291564941406,1635.6129150390625,390.52886962890625,4.996470430013835,72.75098168689951,0.0,-17.280953470863732,-9.622959432813813,9,declining,75.16859436035156,35.514,25.056,0.71,False,Medium,76.4,High
Narayanganj,155.72454833984375,134.66146850585938,59.197750091552734,650.0611572265625,251.06507873535156,9.106489356188504,62.02557086961244,0.0,-9.692474619545285,-7.026570297771268,9,declining,63.438568115234375,19.466,21.146,1.09,False,Medium,72.0,Medium
Sherpur,185.3758544921875,188.49679565429688,126.48430633544922,1218.002685546875,280.9599609375,10.38456711437041,65.97945624480802,0.0,-14.461214955645753,-9.67598106400355,9,declining,26.215486526489258,23.172,8.738,0.38,False,Medium,71.7,Medium
Dhaka,272.6396484375,421.901611328125,251.2510223388672,1253.3759765625,577.8104858398438,20.04594208259412,47.18496031466443,0.32060718439741553,-23.425770568843035,-5.892964170361586,9,declining,87.3717269897461,34.08,29.124,0.85,False,Medium,70.6,Medium
Sunamganj,135.37924194335938,105.38058471679688,112.10325622558594,1013.8527221679688,238.30162048339844,11.057153941044838,56.810038332404346,0.0,-1.6697870890288227,-1.3006216827968204,9,declining,41.84389877319336,16.922,13.948,0.82,False,Medium,70.0,Medium
Khulna,742.2999877929688,831.65478515625,732.9422607421875,2545.097900390625,1336.10791015625,28.798195174719783,55.55688894216345,158.71396571708368,-22.84326477050151,-2.674103418472683,9,declining,236.703125,92.787,78.901,0.85,False,Medium,69.8,Medium
Barguna,152.5667724609375,167.90054321289062,83.66199493408203,1207.7437744140625,281.0807189941406,6.92713112718554,54.27863320077742,0.0,-11.879838562008768,-6.956068834386912,9,declining,56.80438232421875,19.071,18.935,0.99,False,Medium,69.2,Medium
Rajshahi,348.8267822265625,566.7874755859375,259.5371398925781,2068.907958984375,640.1944580078125,12.544644084601263,54.48762916693441,0.0,-29.03622639973786,-7.509333006878211,9,declining,58.33918762207031,43.603,19.446,0.45,False,Medium,67.0,Medium
Munshiganj,252.2386474609375,336.0693664550781,161.8166961669922,751.911376953125,444.1423645019531,21.520713893531102,56.79229625928384,0.0,-23.95839538573827,-8.31674569276925,9,declining,93.40336608886719,31.53,31.134,0.99,False,Medium,67.0,Medium
Tangail,811.6693115234375,1114.77197265625,846.7919311523438,3063.262939453125,1625.826416015625,27.643462147703158,49.92349143351826,4.132664516410904,-46.21506449380716,-4.431536249274926,9,declining,171.390869140625,101.459,57.13,0.56,False,Medium,65.8,Medium
Satkhira,592.8389282226562,876.66748046875,595.299560546875,2033.2371826171875,1162.333984375,29.27841206310245,51.004180914613144,109.972284645543,-37.934949747715216,-4.84733816578663,9,declining,222.63497924804688,74.105,74.212,1.0,False,Medium,65.6,Medium
Comilla,875.4464721679688,1092.0848388671875,708.0427856445312,2923.46240234375,1599.71484375,24.219322440298562,54.725157773480134,0.0,-27.73118184407403,-2.9914193090125827,9,declining,246.64306640625,109.431,82.214,0.75,False,Medium,63.9,Medium
Kishoreganj,313.0557556152344,408.341552734375,321.3460388183594,1202.5882568359375,577.8958740234375,26.721202123146863,54.17165439089774,0.0,-15.326821899412531,-4.281524715851474,9,declining,79.25204467773438,39.132,26.417,0.68,False,Medium,58.8,Medium
Natore,375.6526794433594,579.9352416992188,435.50537109375,1652.031494140625,742.9791259765625,26.36180803080251,50.56032751251338,0.0,-5.98628743489816,-1.358024641026054,9,declining,53.368377685546875,46.957,17.789,0.38,False,Medium,57.8,Medium
Magura,173.24713134765625,322.9587707519531,221.4292449951172,1006.74755859375,410.0935974121094,21.994515219328175,42.24575375985632,0.0,-6.4836069742834574,-2.3580202549089884,9,declining,38.53143310546875,21.656,12.844,0.59,False,Medium,57.2,Medium
