district_id,district_name,population_2022
5762,Barisal,2570446
5763,Bhola,1932518
5764,Jhalokati,661160
5765,Patuakhali,1727254
5766,Pirojpur,1198195
5767,Bandarban,481109
5768,Brahamanbaria,3306563
5769,Chandpur,2635748
5770,Chittagong,9169464
5771,Comilla,6212216
5772,Cox's Bazar,2823265
5773,Feni,1648896
5774,Khagrachhari,714119
5775,Lakshmipur,1938111
5776,Noakhali,3625252
5777,Rangamati,647587
5778,Dhaka,14734024
5779,Faridpur,2162754
5780,Gazipur,5262978
5781,Gopalganj,1295005
5782,Jamalpur,2499627
5783,Kishoreganj,3267626
5784,Madaripur,1292963
5785,Manikganj,1557927
5786,Munshiganj,1625354
5787,Mymensingh,5898747
5788,Narayanganj,3908898
5789,Narsingdi,2584335
5790,Netrakona,2324665
5791,Rajbari,1189743
5792,Shariatpur,1294511
5793,Sherpur,1501751
5794,Tangail,4037316
5795,Bagerhat,1613079
5796,Chuadanga,1234066
5797,Jessore,3076144
5798,Jhenaidah,1771304
5799,Khulna,2613385
5800,Kushtia,2149692
5801,Magura,1033115
5802,Meherpur,705356
5803,Narail,788673
5804,Satkhira,2196581
5821,Habiganj,2358747
5822,Maulvibazar,2123349
5823,Sunamganj,2695294
5824,Sylhet,3856974
5805,Bogra,3734297
5808,Joypurhat,956431
5811,Naogaon,2784599
5812,Natore,1859922
5813,Nawabganj,1835528
5815,Pabna,2909624
5817,Rajshahi,2915009
5819,Sirajganj,3357706
5806,Dinajpur,3315238
5807,Gaibandha,2562232
5809,Kurigram,2329161
5810,Lalmonirhat,1428406
5814,Nilphamari,2092567
5816,Panchagarh,1179843
5818,Rangpur,3169615
5820,Thakurgaon,1533894
5761,Barguna,1010531
